,Area ,Mean,IntDen,Median,RawIntDen,Maxintensity_perpicture,RawIntden_normatoMaxintensity,genotype,Injection type,Fishnumber
1,892.1656,987.5588,881065.9615,1009,8471279,39339411,0.215338226594191,wt,FALSE,A
2,892.1656,1067.2457,952159.9537,1118,9154834,39339411,0.23271405868278,wt,FALSE,A
3,892.1656,1064.2079,949449.6548,1065,9128775,39339411,0.23205164408791,wt,FALSE,A
4,892.1656,1123.9438,1002744.0174,1162,9641190,39339411,0.245077131429344,wt,FALSE,A
5,892.1656,1125.4217,1004062.5047,1161,9653867,39339411,0.245399378246919,wt,FALSE,A
6,892.1656,985.1084,878879.8541,1051,8450260,39339411,0.214803927796479,wt,FALSE,A
7,892.1656,1050.5015,937221.328,1098,9011202,39339411,0.229062961822179,wt,FALSE,A
8,892.1656,1121.4907,1000555.4139,1161,9620147,39339411,0.244542222556408,wt,FALSE,A
9,892.1656,1030.0632,918986.9523,1055,8835882,39339411,0.224606362306746,wt,FALSE,A
10,892.1656,1053.0964,939536.4031,1095,9033461,39339411,0.22962878117316,wt,FALSE,A
11,892.1656,934.1336,833401.8732,1003,8012998,39339411,0.20368881476136,wt,FALSE,A
12,892.1656,918.6088,819551.1529,963,7879826,39339411,0.200303609019464,wt,FALSE,A
13,892.1656,848.657,757142.6186,832,7279780,39339411,0.185050559094543,wt,FALSE,A
14,892.1656,912.9632,814514.3382,910,7831398,39339411,0.1990725788955,wt,FALSE,A
15,892.1656,897.4899,800709.5887,889,7698668,39339411,0.195698608705657,wt,FALSE,A
16,892.1656,1091.932,974184.2132,1126,9366593,39339411,0.238096930327706,wt,FALSE,A
1,892.1656,921.2973,821949.7451,959,7902888,35636381,0.221764606232041,wt,FALSE,A
2,892.1656,1021.6511,911481.9653,1068,8763723,35636381,0.245920678645792,wt,FALSE,A
3,892.1656,1030.152,919066.205,1085,8836644,35636381,0.247966930199787,wt,FALSE,A
4,892.1656,1024.3234,913866.1005,1090,8786646,35636381,0.246563925781352,wt,FALSE,A
5,892.1656,983.5149,877458.1927,1026,8436591,35636381,0.236740958628768,wt,FALSE,A
6,892.1656,1010.2534,901313.3782,1043,8665954,35636381,0.243177162125413,wt,FALSE,A
7,892.1656,1066.6542,951632.226,1114,9149760,35636381,0.256753344285998,wt,FALSE,A
8,892.1656,1005.9927,897512.0538,1065,8629405,35636381,0.242151552931259,wt,FALSE,A
9,892.1656,1030.3936,919281.706,1075,8838716,35636381,0.2480250730286,wt,FALSE,A
10,892.1656,1042.8219,930369.8123,1110,8945326,35636381,0.251016678713812,wt,FALSE,A
11,892.1656,1010.7179,901727.7391,1051,8669938,35636381,0.243288957989309,wt,FALSE,A
12,892.1656,949.9541,847516.3534,1030,8148706,35636381,0.228662556952683,wt,FALSE,A
13,892.1656,992.7441,885692.1595,1053,8515759,35636381,0.238962508566737,wt,FALSE,A
14,892.1656,919.0169,819915.2788,955,7883327,35636381,0.221215700887248,wt,FALSE,A
1,892.1656,963.0444,859195.1112,944,8260995,35474275,0.232872835315169,wt,FALSE,A
2,892.1656,926.2663,826382.9075,914,7945512,35474275,0.223979545741245,wt,FALSE,A
3,892.1656,928.3588,828249.8196,959,7963462,35474275,0.224485546216237,wt,FALSE,A
4,892.1656,930.9773,830585.904,916,7985923,35474275,0.225118709261852,wt,FALSE,A
5,892.1656,956.0479,852953.0721,994,8200979,35474275,0.23118101779388,wt,FALSE,A
6,892.1656,983.9211,877820.5505,1044,8440075,35474275,0.237921000499658,wt,FALSE,A
7,892.1656,986.3466,879984.5045,975,8460881,35474275,0.238507510019585,wt,FALSE,A
1,892.1656,879.751,784883.5817,909,7546504,36101976,0.209032990327178,wt,FALSE,B
2,892.1656,903.7037,806253.3298,895,7751970,36101976,0.21472425775254,wt,FALSE,B
3,892.1656,985.2962,879047.4082,1024,8451871,36101976,0.234111035916704,wt,FALSE,B
4,892.1656,1028.3236,917434.971,1089,8820960,36101976,0.24433454833608,wt,FALSE,B
5,892.1656,958.4194,855068.8713,991,8221322,36101976,0.227724986576912,wt,FALSE,B
6,892.1656,1043.355,930845.4329,1098,8949899,36101976,0.24790607029377,wt,FALSE,B
7,892.1656,982.3423,876411.9938,999,8426532,36101976,0.233409162977672,wt,FALSE,B
8,892.1656,963.8095,859877.7042,1000,8267558,36101976,0.229005692098405,wt,FALSE,B
9,892.1656,955.8213,852750.884,995,8199035,36101976,0.227107651946808,wt,FALSE,B
10,892.1656,1018.0106,908234.0581,1067,8732495,36101976,0.241884128447706,wt,FALSE,B
11,892.1656,990.055,883293.0473,1043,8492692,36101976,0.235241749648274,wt,FALSE,B
12,892.1656,992.6176,885579.3127,1044,8514674,36101976,0.235850635987349,wt,FALSE,B
13,892.1656,988.3775,881796.3974,983,8478302,36101976,0.234843156507555,wt,FALSE,B
14,892.1656,969.9768,865379.9469,971,8320461,36101976,0.230471068952015,wt,FALSE,B
15,892.1656,973.4057,868439.0827,1028,8349874,36101976,0.231285788899754,wt,FALSE,B
16,892.1656,940.4765,839060.7493,929,8067407,36101976,0.223461646531481,wt,FALSE,B
17,892.1656,954.6513,851707.0772,962,8188999,36101976,0.226829661622954,wt,FALSE,B
18,892.1656,848.8535,757317.8692,866,7281465,36101976,0.201691591618143,wt,FALSE,B
19,892.1656,946.2013,844168.2882,970,8116515,36101976,0.224821904485228,wt,FALSE,B
20,892.1656,974.6778,869573.9989,1005,8360786,36101976,0.231588043823418,wt,FALSE,B
1,892.1656,981.3283,875507.3475,1023,8417834,34133245,0.246616868686232,wt,FALSE,B
2,892.1656,1021.8278,911639.6387,1066,8765239,34133245,0.256794775884918,wt,FALSE,B
3,892.1656,1012.3997,903228.2373,1062,8684365,34133245,0.254425414284519,wt,FALSE,B
4,892.1656,1012.0406,902907.794,1059,8681284,34133245,0.254335150379051,wt,FALSE,B
5,892.1656,962.2645,858499.3094,1008,8254305,34133245,0.241825967616029,wt,FALSE,B
6,892.1656,1002.2878,894206.7352,1056,8597625,34133245,0.251884196770626,wt,FALSE,B
7,892.1656,993.1591,886062.4217,1035,8519319,34133245,0.249590069739927,wt,FALSE,B
8,892.1656,992.2966,885292.8795,1053,8511920,34133245,0.249373301600829,wt,FALSE,B
9,892.1656,1014.9704,905521.6791,1062,8706416,34133245,0.255071441346992,wt,FALSE,B
10,892.1656,1033.2984,921873.3337,1075,8863634,34133245,0.259677449360587,wt,FALSE,B
11,892.1656,960.0261,856502.2854,1022,8235104,34133245,0.241263436863386,wt,FALSE,B
12,892.1656,959.8746,856367.0773,1014,8233804,34133245,0.241225350827324,wt,FALSE,B
13,892.1656,926.5192,826608.601,956,7947682,34133245,0.232842848665575,wt,FALSE,B
14,892.1656,935.6815,834782.8682,955,8026276,34133245,0.23514541321811,wt,FALSE,B
1,892.1656,908.2559,810314.6699,941,7791019,33820573,0.230363305790236,wt,FALSE,B
2,892.1656,932.0206,831516.76,976,7994873,33820573,0.236390820463036,wt,FALSE,B
3,892.1656,1026.9914,916246.3876,1051,8809532,33820573,0.260478496328256,wt,FALSE,B
4,892.1656,997.0289,889514.9092,1025,8552514,33820573,0.252879039039344,wt,FALSE,B
5,892.1656,993.1606,886063.7738,1029,8519332,33820573,0.251897920239258,wt,FALSE,B
6,892.1656,919.3334,820197.6558,937,7886042,33820573,0.233172927022851,wt,FALSE,B
7,892.1656,911.9609,813620.1965,957,7822801,33820573,0.231303029667771,wt,FALSE,B
1,892.1656,945.7841,843796.0499,994,8112936,33355993,0.243222739613838,wt,FALSE,C
2,892.1656,950.0846,847632.8404,962,8149826,33355993,0.244328687801319,wt,FALSE,C
3,892.1656,978.9243,873362.6346,1021,8397213,33355993,0.251745256092361,wt,FALSE,C
4,892.1656,1010.0762,901155.2887,1074,8664434,33355993,0.259756440169537,wt,FALSE,C
5,892.1656,1010.327,901379.0062,1035,8666585,33355993,0.259820926332488,wt,FALSE,C
6,892.1656,1047.6617,934687.7358,1093,8986842,33355993,0.269422109544153,wt,FALSE,C
7,892.1656,984.7649,878573.3477,990,8447313,33355993,0.253247235062077,wt,FALSE,C
8,892.1656,996.0094,888605.3746,1042,8543769,33355993,0.256138949303653,wt,FALSE,C
9,892.1656,975.2034,870042.9631,1027,8365295,33355993,0.250788366576285,wt,FALSE,C
10,892.1656,988.1242,881570.3918,1013,8476129,33355993,0.254111127796435,wt,FALSE,C
11,892.1656,1037.326,925466.5416,1076,8898182,33355993,0.266764116421298,wt,FALSE,C
12,892.1656,1009.2343,900404.1556,1027,8657212,33355993,0.259539927352785,wt,FALSE,C
13,892.1656,1012.6356,903438.6419,1060,8686388,33355993,0.260414612750398,wt,FALSE,C
14,892.1656,979.8193,874161.0906,1017,8404890,33355993,0.251975409636283,wt,FALSE,C
15,892.1656,989.8989,883153.783,1039,8491353,33355993,0.25456753753366,wt,FALSE,C
16,892.1656,997.8757,890270.4106,1028,8559778,33355993,0.256618893042699,wt,FALSE,C
17,892.1656,959.2839,855840.0776,995,8228737,33355993,0.246694409607293,wt,FALSE,C
18,892.1656,1057.542,943502.5775,1082,9071595,33355993,0.271962972291066,wt,FALSE,C
19,892.1656,1045.0349,932344.1629,1096,8964309,33355993,0.268746578763223,wt,FALSE,C
20,892.1656,1016.7741,907130.8638,1037,8721888,33355993,0.261478889265866,wt,FALSE,C
21,892.1656,984.1711,878043.6439,1011,8442220,33355993,0.253094548856633,wt,FALSE,C
22,892.1656,983.2629,877233.3312,995,8434429,33355993,0.252860977636013,wt,FALSE,C
1,892.1656,982.0246,876128.5768,1024,8423807,33758394,0.249532220045776,wt,FALSE,C
2,892.1656,980.7667,875006.3494,1015,8413017,33758394,0.249212595836164,wt,FALSE,C
3,892.1656,1001.6489,893636.6769,1034,8592144,33758394,0.254518742805123,wt,FALSE,C
4,892.1656,974.7405,869629.9543,1014,8361324,33758394,0.247681332233992,wt,FALSE,C
5,892.1656,1005.5959,897158.1205,1059,8626002,33758394,0.255521693360176,wt,FALSE,C
6,892.1656,989.568,882858.5092,1030,8488514,33758394,0.25144898776879,wt,FALSE,C
7,892.1656,1012.6481,903449.7706,1039,8686495,33758394,0.257313632870094,wt,FALSE,C
8,892.1656,1030.4963,919373.3355,1091,8839597,33758394,0.261848860464156,wt,FALSE,C
9,892.1656,994.0115,886822.9154,1022,8526631,33758394,0.25257809953874,wt,FALSE,C
10,892.1656,1022.7229,912438.1987,1062,8772917,33758394,0.259873648017734,wt,FALSE,C
11,892.1656,978.9949,873425.5584,1016,8397818,33758394,0.24876236707232,wt,FALSE,C
12,892.1656,1072.8537,957163.1744,1114,9202939,33758394,0.272611872472369,wt,FALSE,C
13,892.1656,1003.7888,895545.8156,1053,8610500,33758394,0.255062489050871,wt,FALSE,C
14,892.1656,972.5685,867692.2138,1001,8342693,33758394,0.247129439866126,wt,FALSE,C
15,892.1656,1032.9515,921563.8111,1071,8860658,33758394,0.262472734929274,wt,FALSE,C
16,892.1656,1008.3424,899608.4038,1070,8649561,33758394,0.256219564236379,wt,FALSE,C
17,892.1656,1000.9587,893020.9599,1065,8586224,33758394,0.254343379012639,wt,FALSE,C
1,892.1656,963.107,859250.9626,1023,8261532,34085958,0.242373472384141,wt,FALSE,D
2,892.1656,920.424,821170.6342,969,7895397,34085958,0.231631952371707,wt,FALSE,D
3,892.1656,972.0875,867263.084,1029,8338567,34085958,0.244633493944926,wt,FALSE,D
4,892.1656,998.9733,891249.6295,1057,8569193,34085958,0.25139950591971,wt,FALSE,D
5,892.1656,982.5605,876606.6935,1043,8428404,34085958,0.247269095385261,wt,FALSE,D
6,892.1656,963.6337,859720.8628,1044,8266050,34085958,0.242506019634243,wt,FALSE,D
7,892.1656,946.4421,844383.0611,990,8118580,34085958,0.238179604633673,wt,FALSE,D
8,892.1656,929.7164,829460.9724,981,7975107,34085958,0.233970451996684,wt,FALSE,D
9,892.1656,930.2055,829897.3826,1005,7979303,34085958,0.234093552541489,wt,FALSE,D
10,892.1656,1039.4756,927384.4169,1106,8916622,34085958,0.261592236897082,wt,FALSE,D
11,892.1656,925.1376,825375.9189,977,7935830,34085958,0.23281815931358,wt,FALSE,D
12,892.1656,951.9247,849274.4751,1012,8165610,34085958,0.239559351683764,wt,FALSE,D
13,892.1656,962.3554,858580.4343,1014,8255085,34085958,0.242184332915038,wt,FALSE,D
14,892.1656,936.2129,835256.9287,1001,8030834,34085958,0.235605348102582,wt,FALSE,D
15,892.1656,958.7803,855390.7706,998,8224417,34085958,0.241284607579461,wt,FALSE,D
16,892.1656,965.421,861315.3826,1032,8281381,34085958,0.24295579428925,wt,FALSE,D
17,892.1656,988.0931,881542.7261,1055,8475863,34085958,0.248661428263216,wt,FALSE,D
18,892.1656,947.3199,845166.2282,1001,8126110,34085958,0.238400516717177,wt,FALSE,D
19,892.1656,944.5741,842716.569,996,8102557,34085958,0.237709528363557,wt,FALSE,D
20,892.1656,999.088,891351.9716,1047,8570177,34085958,0.251428374112296,wt,FALSE,D
1,892.1656,1028.6998,917770.5992,1073,8824187,34353635,0.256863269345442,wt,FALSE,E
2,892.1656,950.6369,848125.518,952,8154563,34353635,0.237371183573441,wt,FALSE,E
3,892.1656,971.7884,866996.204,1023,8336001,34353635,0.242652662520284,wt,FALSE,E
4,892.1656,982.453,876510.7998,1031,8427482,34353635,0.245315583052565,wt,FALSE,E
5,892.1656,983.2326,877206.2896,990,8434169,34353635,0.245510234943114,wt,FALSE,E
6,892.1656,1010.3375,901388.3667,1024,8666675,34353635,0.252278252359612,wt,FALSE,E
7,892.1656,995.7876,888407.4507,1063,8541866,34353635,0.248645187037704,wt,FALSE,E
8,892.1656,1054.015,940355.9724,1085,9041341,34353635,0.263184405376607,wt,FALSE,E
9,892.1656,1017.8832,908120.3793,1067,8731402,34353635,0.254162390675688,wt,FALSE,E
10,892.1656,978.3528,872852.6919,1027,8392310,34353635,0.244291761264856,wt,FALSE,E
11,892.1656,1030.7914,919636.6793,1070,8842129,34353635,0.257385543043698,wt,FALSE,E
12,892.1656,1016.2768,906687.1731,1038,8717622,34353635,0.253761268640131,wt,FALSE,E
13,892.1656,1011.7237,902625.105,1057,8678566,34353635,0.252624387492037,wt,FALSE,E
14,892.1656,1023.5815,913204.2048,1045,8780282,34353635,0.255585238650873,wt,FALSE,E
15,892.1656,1006.6713,898117.4742,1051,8635226,34353635,0.251362803383106,wt,FALSE,E
16,892.1656,1041.424,929122.6733,1064,8933335,34353635,0.260040458600669,wt,FALSE,E
17,892.1656,1031.937,920658.7487,1107,8851956,34353635,0.257671597197793,wt,FALSE,E
18,892.1656,1048.1606,935132.8825,1117,8991122,34353635,0.26172258044891,wt,FALSE,E
19,892.1656,1052.369,938887.4041,1121,9027221,34353635,0.262773386280666,wt,FALSE,E
20,892.1656,1031.5962,920354.6345,1083,8849032,34353635,0.257586482478492,wt,FALSE,E
21,892.1656,1056.0556,942176.4978,1113,9058845,34353635,0.263693929332369,wt,FALSE,E
22,892.1656,1036.5442,924769.0757,1108,8891476,34353635,0.258821984922411,wt,FALSE,E
23,892.1656,988.9852,882338.582,1030,8483515,34353635,0.246946647712826,wt,FALSE,E
24,892.1656,1023.7726,913374.671,1066,8781921,34353635,0.255632948303724,wt,FALSE,E
25,892.1656,1024.6137,914125.0761,1085,8789136,34353635,0.25584296974687,wt,FALSE,E
26,892.1656,1053.1468,939581.3338,1094,9033893,34353635,0.262967601536198,wt,FALSE,E
27,892.1656,1030.7572,919606.1015,1083,8841835,34353635,0.257376984997366,wt,FALSE,E
28,892.1656,1019.6694,909713.963,1060,8746724,34353635,0.254608398790987,wt,FALSE,E
29,892.1656,1015.1595,905690.3772,1046,8708038,34353635,0.253482287973311,wt,FALSE,E
30,892.1656,950.2918,847817.6595,1019,8151603,34353635,0.2372850209301,wt,FALSE,E
31,892.1656,916.7107,817857.7232,975,7863544,34353635,0.228899911173883,wt,FALSE,E
1,892.1656,859.2501,766593.3545,878,7370647,35264606,0.20900976463483,wt,FALSE,F
2,892.1656,812.4547,724844.1017,844,6969236,35264606,0.197626935063446,wt,FALSE,F
3,892.1656,822.8861,734150.685,841,7058717,35264606,0.200164351758247,wt,FALSE,F
4,892.1656,939.2624,837977.6282,938,8056993,35264606,0.228472508667756,wt,FALSE,F
